zcta,year,month,day_of_month,hour_of_day,day_of_year,week_of_year,day_of_week,is_weekend,Call_counts
94102,2017,11,11,11,315,45,5,True,1.6038955486401258
94102,2017,11,11,12,315,45,5,True,1.6490401967014945
94102,2017,11,11,13,315,45,5,True,1.6954555255439856
94102,2017,11,11,14,315,45,5,True,1.7431773008611386
94102,2017,11,11,15,315,45,5,True,1.792242295039011
94102,2017,11,11,16,315,45,5,True,1.842688315491425
94102,2017,11,11,17,315,45,5,True,1.894554233792768
94102,2017,11,11,18,315,45,5,True,1.9478800156307856
94102,2017,11,11,19,315,45,5,True,2.002706751602453
94102,2017,11,11,20,315,45,5,True,2.0590766888766576
94102,2017,11,11,21,315,45,5,True,2.1170332637480818
94102,2017,11,11,22,315,45,5,True,2.1766211351073794
94102,2017,11,11,23,315,45,5,True,2.2378862188534328
94102,2017,11,12,0,316,45,6,True,1.1875021410453794
94102,2017,11,12,1,316,45,6,True,1.2209266157719714
94102,2017,11,12,2,316,45,6,True,1.2552918850219024
94102,2017,11,12,3,316,45,6,True,1.2906244292213382
94102,2017,11,12,4,316,45,6,True,1.3269514741377
94102,2017,11,12,5,316,45,6,True,1.364301011858689
94102,2017,11,12,6,316,45,6,True,1.4027018223618104
94102,2017,11,12,7,316,45,6,True,1.4421834956910087
94102,2017,11,12,8,316,45,6,True,1.4827764547575055
94102,2017,11,12,9,316,45,6,True,1.5245119787824126
94102,2017,11,12,10,316,45,6,True,1.5674222273991791
94102,2017,11,12,11,316,45,6,True,1.6115402654344475
94102,2017,11,12,12,316,45,6,True,1.6569000883864136
94102,2017,11,12,13,316,45,6,True,1.7035366486203234
94102,2017,11,12,14,316,45,6,True,1.7514858823012904
94102,2017,11,12,15,316,45,6,True,1.800784737085187
94102,2017,11,12,16,316,45,6,True,1.8514712005889498
94102,2017,11,12,17,316,45,6,True,1.9035843296622332
94102,2017,11,12,18,316,45,6,True,1.957164280482971
94102,2017,11,12,19,316,45,6,True,2.01225233950003
94102,2017,11,12,20,316,45,6,True,2.0688909552468076
